districtname,constnum,constname,maoist,uml,nepalicongress,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender
Sindhuli,3,Sindhuli 3,41.3,16.16,18.59,52.75,43.5,38,16.67,83.33,F
Sindhupalchok,1,Sindhupalchok 1,39.4,23.98,13.22,57.53,43.56,32,6.25,93.75,M
Sindhupalchok,2,Sindhupalchok 2,53.62,19.32,10.46,59.06,43.81,50,6.25,93.75,M
Sindhupalchok,3,Sindhupalchok 3,28.75,29.33,14.74,58.55,42.5,34,0,100,M
Siraha,1,Siraha 1,9.12,15.38,15.99,61.76,42.52,57,4.35,95.65,M
Siraha,2,Siraha 2,8.88,16.92,14.55,62.58,40.12,62,8,92,M
Siraha,3,Siraha 3,6.29,16.79,20.34,57.78,39.68,31,9.68,90.32,M
Siraha,4,Siraha 4,7.48,20.51,13.23,61.08,41.88,37,8.33,91.67,M
Siraha,5,Siraha 5,27.89,16.27,7.67,58.3,45.22,34,4.35,95.65,M
Siraha,6,Siraha 6,17.23,9.12,10.57,60.6,40.32,34,7.14,92.86,M
Solukhumbu,1,Solukhumbu 1,35.95,20.08,24.66,47.99,43,42,0,100,M
Sunsari,1,Sunsari 1,40.41,23.9,15.19,50.34,41.44,32,12.5,87.5,M
Sunsari,2,Sunsari 2,24.02,32.48,18.22,56.83,43.45,50,9.09,90.91,M
Sunsari,3,Sunsari 3,11.04,13.28,19.32,71.05,42.74,53,21.74,78.26,M
Sunsari,4,Sunsari 4,10.06,16.65,19.14,63,44.07,66,0,100,M
Sunsari,5,Sunsari 5,2.13,18.46,19.95,64.81,38.93,48,3.57,96.43,M
Sunsari,6,Sunsari 6,24.93,33.49,19.05,53.51,47.1,47,5,95,M
Surkhet,1,Surkhet 1,27.28,38.75,27.84,64.08,50,45,10,90,F
Surkhet,2,Surkhet 2,32.33,30.46,27.43,62.59,44.5,45,25,75,M
Surkhet,3,Surkhet 3,39.06,25.14,19.16,56.01,43.64,39,7.14,92.86,M
Syangja,1,Syangja 1,26.58,33.11,30.66,48.01,47.18,46,0,100,M
Syangja,2,Syangja 2,25.59,24.9,36.46,46.22,45.29,60,21.43,78.57,M
Syangja,3,Syangja 3,22.03,32.24,34.24,54.99,51.6,44,10,90,M
Tanahu,1,Tanahu 1,34.07,22.23,24.36,48.71,49.2,53,0,100,M
Tanahu,2,Tanahu 2,24.13,18.56,39.51,48.18,46.69,63,25,75,M
Tanahu,3,Tanahu 3,24.27,31.97,29.14,51.57,51,47,12.5,87.5,M
Taplejung,1,Taplejung 1,26.06,24.46,27.26,51.83,52.25,64,0,100,M
Taplejung,2,Taplejung 2,26.69,30.99,19.14,48.91,42,50,0,100,M
Tehrathum,1,Tehrathum 1,19.91,29.15,33.27,53.7,41.38,52,7.69,92.31,M
Udaypur,1,Udaypur 1,32.12,22.65,28.49,53.28,45.25,55,8.33,91.67,M
Udaypur,2,Udaypur 2,32.95,26.21,21.46,52.55,43.6,28,13.33,86.67,F
Udaypur,3,Udaypur 3,38.12,23.51,22.87,48.89,46.55,32,9.09,90.91,M
