districtname,constnum,constname,maovote,civdeath_gov,civdeath_mao,govtdeath,maodeath,statebased,onesided,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender,winningparty
Kanchanpur,3,Kanchanpur 3,41.71,0,0,0,0,0,0,53.06,45.29,26,5.88,94.12,M,CPNM
Kanchanpur,4,Kanchanpur 4,33.62,0,0,0,0,0,0,52.33,43.06,60,22.22,77.78,M,NC
Kapilvastu,1,Kapilvastu 1,24.99,0,0,0,0,0,0,62.22,44.13,57,0,100,M,NC
Kapilvastu,2,Kapilvastu 2,21.62,0,0,0,0,0,0,51.6,38.89,51,5.26,94.74,M,TMLP
Kapilvastu,3,Kapilvastu 3,15.93,0,0,0,0,0,0,54.4,44.06,37,11.76,88.24,M,TMLP
Kapilvastu,4,Kapilvastu 4,14.35,14.93,62.71,65.69,56.74,77.64,122.43,63.11,42.62,40,0,100,M,TMLP
Kapilvastu,5,Kapilvastu 5,16.41,0,0,0,0,0,0,65.55,42.4,25,4,96,M,MJFN
Kaski,1,Kaski 1,36.08,0,0,0,0,0,0,53.93,53.38,49,0,100,M,CPNM
Kaski,2,Kaski 2,37.27,0,0,0,0,0,0,55.22,45.67,30,33.33,66.67,M,CPNM
Kaski,3,Kaski 3,29.72,0,0,0,0,0,0,54.19,47.94,39,17.65,82.35,M,UML
Kaski,4,Kaski 4,32.22,12.76,11.6,25.51,37.11,24.36,62.62,53.5,40.92,26,16.67,83.33,F,CPNM
Kathmandu,1,Kathmandu 1,15.95,0,0,0,0,0,0,59.25,47.77,52,22.86,77.14,M,NC
Kathmandu,2,Kathmandu 10,32.17,0,0,0,0,0,0,64.16,40.92,46,19.23,80.77,M,CPNM
Kathmandu,3,Kathmandu 2,22.76,33.17,23.41,62.43,13.66,56.58,76.09,63.18,42.03,50,19.35,80.65,M,NC
Kathmandu,4,Kathmandu 3,24.55,0,0,0,0,0,0,59.81,43.39,66,21.43,78.57,F,NC
Kathmandu,5,Kathmandu 4,21.52,0,0,0,0,0,0,59.74,44.47,54,21.05,78.95,M,NC
Kathmandu,6,Kathmandu 5,30.75,1.76,0,0,0,1.76,0,61.7,45.13,44,21.88,78.13,M,CPNM
Kathmandu,7,Kathmandu 6,34.39,0,0,0,0,0,0,60.56,41.83,48,20,80,F,CPNM
Kathmandu,8,Kathmandu 7,19.95,0,0,0,0,0,0,58.26,44.67,41,16.67,83.33,M,NC
Kathmandu,9,Kathmandu 8,29.54,0,0,0,0,0,0,62.8,42.5,62,20.83,79.17,M,NC
Kathmandu,10,Kathmandu 9,49,0,0,0,0,0,0,74.48,45.08,52,12,88,M,CPNM
Kavrepalanchok,1,Kavrepalanchok 1,55.24,0,0,0,0,0,0,60.36,42.47,37,6.67,93.33,M,CPNM
Kavrepalanchok,2,Kavrepalanchok 2,38.2,20.81,20.81,84.54,105.35,41.62,189.89,62,44.27,37,13.33,86.67,M,CPNM
Kavrepalanchok,3,Kavrepalanchok 3,26.65,0,0,0,0,0,0,66.77,40.31,54,6.25,93.75,M,UML
Kavrepalanchok,4,Kavrepalanchok 4,41.53,0,0,0,0,0,0,61.45,47.53,46,6.67,93.33,M,CPNM
Khotang,1,Khotang 1,39.77,0,0,0,0,0,0,45.2,43.6,39,0,100,M,CPNM
Khotang,2,Khotang 2,42.56,10,15.56,14.45,51.13,25.56,65.58,47.45,43.38,28,25,75,F,CPNM
Lalitpur,1,Lalitpur 1,33.42,3.06,12.25,13.78,15.32,15.31,29.1,70.25,39.61,36,13.04,86.96,M,CPNM
Lalitpur,2,Lalitpur 2,32.7,0,0,0,0,0,0,64.97,41.8,29,16,84,M,CPNM
Lalitpur,3,Lalitpur 3,34.73,0,0,0,0,0,0,60.82,44.27,45,6.06,93.94,F,CPNM
Lamjung,1,Lamjung 1,49.03,4.01,21.37,14.69,118.88,25.38,133.57,57.33,45.86,37,14.29,85.71,M,CPNM
Lamjung,2,Lamjung 2,21.75,0,0,0,0,0,0,55.63,43,50,14.29,85.71,M,UML
Mahottari,1,Mahottari 1,3.69,0,0,0,0,0,0,59.48,45,51,10,90,M,JN
Mahottari,2,Mahottari 2,10.61,0,0,0,0,0,0,58.16,39.81,43,0,100,M,MJFN
Mahottari,3,Mahottari 3,8.99,0,0,0,0,0,0,56.07,44.92,64,7.69,92.31,M,TMLP
Mahottari,4,Mahottari 4,18.67,0,0,0,0,0,0,55.02,41.93,37,7.41,92.59,M,TMLP
Mahottari,5,Mahottari 5,11.4,0,0,0,0,0,0,60.98,45.13,36,0,100,M,MJFN
Mahottari,6,Mahottari 6,16.17,15.94,19.12,27.09,25.5,35.06,52.59,62.8,39.89,50,7.41,92.59,M,MJFN
Makwanpur,1,Makwanpur 1,48.03,11.85,22.39,48.73,67.17,34.24,115.9,57.66,45.18,36,9.09,90.91,M,CPNM
Makwanpur,2,Makwanpur 2,44.89,0,0,0,0,0,0,57.75,41.82,35,18.18,81.82,M,CPNM
Makwanpur,3,Makwanpur 3,38.64,0,0,0,0,0,0,57.99,49.47,36,20,80,M,CPNM
Makwanpur,4,Makwanpur 4,40.62,0,0,0,0,0,0,53.24,42.38,28,15.38,84.62,F,CPNM
Manang,1,Manang 1,56.81,0,0,0,0,0,0,39.26,55,51,0,100,M,CPNM
Morang,1,Morang 1,15.2,0,0,0,0,0,0,62.44,44.32,72,10.53,89.47,M,NC
Morang,2,Morang 2,37.63,24.79,43.39,24.79,88.02,68.18,112.81,54.58,49.89,37,0,100,M,CPNM
Morang,3,Morang 3,34.42,0,0,0,0,0,0,57.65,45.17,43,5.56,94.44,M,CPNM
Morang,4,Morang 4,22.06,0,0,0,0,0,0,65.47,40.63,43,18.75,81.25,M,MJFN
Morang,5,Morang 5,7.85,0,0,0,0,0,0,69.94,49.47,48,11.76,88.24,M,MJFN
Morang,6,Morang 6,7.97,0,0,0,0,0,0,63.58,42.83,57,4.17,95.83,M,MJFN
Morang,7,Morang 7,11.99,0,0,0,0,0,0,65.14,48.08,53,15.38,84.62,M,MJFN
Morang,8,Morang 8,33.93,0,0,0,0,0,0,59.64,44.75,33,0,100,M,CPNM
Morang,9,Morang 9,35.55,0,0,0,0,0,0,54.78,47.91,47,9.09,90.91,M,CPNM
Mugu,1,Mugu 1,40.81,0,11.86,0,80.07,11.86,80.07,73.39,47.91,38,0,100,M,CPNM
Mustang,1,Mustang 1,16.51,0,0,0,0,0,0,50.4,42.6,53,20,80,M,UML
Myagdi,1,Myagdi 1,47.28,15.88,3.4,41.98,196.26,19.28,238.24,55.43,37.8,43,10,90,M,CPNM
Nawalparasi,1,Nawalparasi 1,33.09,0,0,0,0,0,0,59.46,48.55,51,27.27,72.73,M,NC
Nawalparasi,2,Nawalparasi 2,25.7,0,0,0,0,0,0,56.65,47,50,7.69,92.31,M,NC
